Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,0.365675,0.378021,0.359574,0.375243,0.375243,543216668
2019-01-03,0.374505,0.374505,0.357675,0.360224,0.360224,438873803
2019-01-04,0.359753,0.364642,0.352785,0.356747,0.356747,450633875
2019-01-05,0.356347,0.361069,0.353987,0.355275,0.355275,452090239
2019-01-06,0.354750,0.369660,0.352589,0.368395,0.368395,492558794
2019-01-07,0.368854,0.377910,0.363387,0.364347,0.364347,499028522
2019-01-08,0.364420,0.370992,0.360734,0.365315,0.365315,499493489
2019-01-09,0.365886,0.373522,0.364756,0.370890,0.370890,455908708
2019-01-10,0.371464,0.381949,0.327159,0.332652,0.332652,839535352
2019-01-11,0.331284,0.337726,0.327914,0.332904,0.332904,501054509
2019-01-12,0.333005,0.336381,0.328033,0.328800,0.328800,376386862
2019-01-13,0.328662,0.333596,0.317098,0.317863,0.317863,452358901
2019-01-14,0.318354,0.337942,0.318354,0.333766,0.333766,545540173
2019-01-15,0.333912,0.336500,0.324011,0.327179,0.327179,429283719
2019-01-16,0.326946,0.334796,0.326174,0.329701,0.329701,438731638
2019-01-17,0.329690,0.330162,0.325740,0.329353,0.329353,433446502
2019-01-18,0.329196,0.329493,0.321856,0.324277,0.324277,376280714
2019-01-19,0.325702,0.333749,0.324911,0.331001,0.331001,420070096
2019-01-20,0.331219,0.332147,0.317609,0.321177,0.321177,407205880
2019-01-21,0.321178,0.322593,0.317439,0.320790,0.320790,363940430
2019-01-22,0.321078,0.321078,0.313455,0.319491,0.319491,434125854
2019-01-23,0.319566,0.320303,0.314923,0.316492,0.316492,375671478
2019-01-24,0.316416,0.318896,0.314433,0.317598,0.317598,344960253
2019-01-25,0.317859,0.319069,0.313824,0.317165,0.317165,360076504
2019-01-26,0.317260,0.319326,0.314235,0.314235,0.314235,346413647
2019-01-27,0.314854,0.315266,0.308366,0.309439,0.309439,362599965
2019-01-28,0.309360,0.309878,0.286563,0.294863,0.294863,584796818
2019-01-29,0.295060,0.296216,0.285888,0.289558,0.289558,454631054
2019-01-30,0.289425,0.324064,0.287915,0.320461,0.320461,753787392
2019-01-31,0.320704,0.333835,0.305866,0.310036,0.310036,780304474
2019-02-01,0.310839,0.311895,0.299399,0.308517,0.308517,564486615
2019-02-02,0.308326,0.311578,0.305231,0.310912,0.310912,429425319
2019-02-03,0.310429,0.311238,0.299370,0.302352,0.302352,438357004
2019-02-04,0.302580,0.305059,0.299364,0.300198,0.300198,418384496
2019-02-05,0.299763,0.301278,0.297210,0.299239,0.299239,424722760
2019-02-06,0.299430,0.299491,0.290419,0.290727,0.290727,456205129
2019-02-07,0.290691,0.294617,0.290445,0.291618,0.291618,368034283
2019-02-08,0.291668,0.315308,0.290119,0.311683,0.311683,683014534
2019-02-09,0.311578,0.313414,0.307560,0.311284,0.311284,461638795
2019-02-10,0.311253,0.311340,0.302092,0.309909,0.309909,495640830
2019-02-11,0.310034,0.310034,0.302741,0.302741,0.302741,474495062
2019-02-12,0.302569,0.307477,0.299579,0.305190,0.305190,472806809
2019-02-13,0.305429,0.311322,0.302188,0.304284,0.304284,494653114
2019-02-14,0.304017,0.306100,0.301514,0.301909,0.301909,418928959
2019-02-15,0.302129,0.304614,0.299583,0.301759,0.301759,426310729
2019-02-16,0.301602,0.303516,0.300731,0.301703,0.301703,379011431
2019-02-17,0.301571,0.304934,0.299235,0.303370,0.303370,427237164
2019-02-18,0.303084,0.327739,0.302557,0.321568,0.321568,887187377
2019-02-19,0.321427,0.343676,0.320942,0.323768,0.323768,1135384190
2019-02-20,0.323572,0.333607,0.320995,0.332880,0.332880,777173685
2019-02-21,0.332869,0.332869,0.319201,0.321291,0.321291,634536384
2019-02-22,0.321449,0.323440,0.318165,0.321904,0.321904,570898964
2019-02-23,0.321314,0.333893,0.318241,0.332620,0.332620,638747256
2019-02-24,0.332942,0.341581,0.299331,0.301443,0.301443,1117884486
2019-02-25,0.300708,0.337855,0.300708,0.328510,0.328510,1060838439
2019-02-26,0.327779,0.334310,0.316865,0.319477,0.319477,881257177
2019-02-27,0.319677,0.322419,0.308662,0.313106,0.313106,716326028
2019-02-28,0.313115,0.317004,0.311435,0.315078,0.315078,734041244
2019-03-01,0.315066,0.323946,0.313620,0.317312,0.317312,752723591
2019-03-02,0.316911,0.319301,0.312747,0.315126,0.315126,604560085
2019-03-03,0.314857,0.316500,0.310925,0.312554,0.312554,548503372
2019-03-04,0.312021,0.313120,0.302677,0.305133,0.305133,647905631
2019-03-05,0.305095,0.317879,0.304082,0.316507,0.316507,786832982
2019-03-06,0.316674,0.320833,0.311987,0.317031,0.317031,750399371
2019-03-07,0.317192,0.319898,0.314548,0.314766,0.314766,716447225
2019-03-08,0.315044,0.316385,0.308828,0.310087,0.310087,680461374
2019-03-09,0.309751,0.317748,0.309367,0.313826,0.313826,763946051
2019-03-10,0.314266,0.315795,0.311095,0.313107,0.313107,620043948
2019-03-11,0.313175,0.314576,0.309417,0.311065,0.311065,671951310
2019-03-12,0.311138,0.311773,0.307536,0.310201,0.310201,581106367
2019-03-13,0.310611,0.320114,0.308660,0.314098,0.314098,827163023
2019-03-14,0.313870,0.316362,0.311307,0.312955,0.312955,706966031
2019-03-15,0.312733,0.316065,0.311575,0.315052,0.315052,636037517
2019-03-16,0.315066,0.322413,0.314838,0.320468,0.320468,759396360
2019-03-17,0.320387,0.320739,0.316497,0.317612,0.317612,530234054
2019-03-18,0.317716,0.320667,0.314653,0.317440,0.317440,692176695
2019-03-19,0.316756,0.320595,0.315351,0.319281,0.319281,672954616
2019-03-20,0.319346,0.320777,0.314781,0.319610,0.319610,794566633
2019-03-21,0.319960,0.320850,0.309338,0.312718,0.312718,824129022
2019-03-22,0.311342,0.315092,0.310141,0.311541,0.311541,687711343
2019-03-23,0.311343,0.313666,0.310130,0.312359,0.312359,611853725
2019-03-24,0.312396,0.312453,0.308168,0.308992,0.308992,649754894
2019-03-25,0.309446,0.309736,0.301453,0.304055,0.304055,750245385
2019-03-26,0.303808,0.305060,0.298987,0.305060,0.305060,761000016
2019-03-27,0.305421,0.312615,0.304067,0.312465,0.312465,781951317
2019-03-28,0.312383,0.312452,0.307085,0.309246,0.309246,677929378
2019-03-29,0.309269,0.311644,0.306235,0.307929,0.307929,854583315
2019-03-30,0.307655,0.326784,0.306873,0.310632,0.310632,929122633
2019-03-31,0.310730,0.311171,0.308150,0.309229,0.309229,652757652
2019-04-01,0.309195,0.313777,0.308910,0.312747,0.312747,836123225
2019-04-02,0.312805,0.355870,0.312001,0.351499,0.351499,2400198267
2019-04-03,0.351309,0.371270,0.333735,0.342234,0.342234,2544122430
2019-04-04,0.342286,0.348977,0.329070,0.332513,0.332513,1599115419
2019-04-05,0.332685,0.374064,0.332630,0.361803,0.361803,2359353480
2019-04-06,0.361837,0.363441,0.351168,0.354405,0.354405,1440643534
2019-04-07,0.354406,0.365387,0.351689,0.359856,0.359856,1398086395
2019-04-08,0.361143,0.367036,0.351588,0.358234,0.358234,1513421925
2019-04-09,0.358307,0.358307,0.348536,0.349462,0.349462,1076688923
2019-04-10,0.349425,0.359778,0.348709,0.354792,0.354792,1213341088
2019-04-11,0.354828,0.354851,0.326826,0.330984,0.330984,1641951209
2019-04-12,0.330664,0.330868,0.321167,0.326346,0.326346,1076074030
2019-04-13,0.326386,0.334444,0.323714,0.326031,0.326031,976688780
2019-04-14,0.326160,0.329421,0.324244,0.328809,0.328809,746765729
2019-04-15,0.328841,0.331551,0.318090,0.320913,0.320913,934107163
2019-04-16,0.320998,0.327308,0.319261,0.327218,0.327218,799796781
2019-04-17,0.327157,0.340327,0.322388,0.335453,0.335453,1137811633
2019-04-18,0.335476,0.345289,0.335335,0.337065,0.337065,1092731768
2019-04-19,0.337062,0.337147,0.329577,0.331902,0.331902,1025167554
2019-04-20,0.331871,0.333213,0.324969,0.328476,0.328476,931570799
2019-04-21,0.328678,0.329627,0.318746,0.322449,0.322449,1005803846
2019-04-22,0.322277,0.329350,0.320237,0.323934,0.323934,1131094080
2019-04-23,0.323844,0.328396,0.320919,0.321222,0.321222,1077333990
2019-04-24,0.321114,0.321282,0.296982,0.302318,0.302318,1517791002
2019-04-25,0.302224,0.306162,0.287667,0.289384,0.289384,1191205195
2019-04-26,0.289838,0.299020,0.287485,0.298502,0.298502,1226933036
2019-04-27,0.298541,0.300304,0.295307,0.296741,0.296741,785963315
2019-04-28,0.296865,0.300466,0.295339,0.297426,0.297426,721572911
2019-04-29,0.297422,0.299848,0.291652,0.294289,0.294289,890911784
2019-04-30,0.294320,0.311631,0.293542,0.309476,0.309476,1229331266
2019-05-01,0.309490,0.311585,0.302282,0.304696,0.304696,914654614
2019-05-02,0.304735,0.305553,0.302567,0.303239,0.303239,890538618
2019-05-03,0.303232,0.313298,0.301475,0.308222,0.308222,1221399046
2019-05-04,0.308174,0.315657,0.300752,0.304552,0.304552,1162919063
2019-05-05,0.304628,0.305519,0.299611,0.302342,0.302342,805245811
2019-05-06,0.302275,0.305754,0.296443,0.302389,0.302389,1048970512
2019-05-07,0.302092,0.306428,0.299478,0.299684,0.299684,1082385111
2019-05-08,0.299022,0.301500,0.297536,0.300721,0.300721,927526279
2019-05-09,0.300582,0.302173,0.294397,0.296509,0.296509,857521678
2019-05-10,0.296523,0.302207,0.294114,0.300387,0.300387,1057594528
2019-05-11,0.300312,0.336324,0.300172,0.324543,0.324543,2226303541
2019-05-12,0.324265,0.327684,0.307292,0.310074,0.310074,2000224166
2019-05-13,0.310118,0.330486,0.308434,0.325475,0.325475,1973949372
2019-05-14,0.325111,0.417289,0.323816,0.409062,0.409062,5834207845
2019-05-15,0.408673,0.460802,0.407264,0.456005,0.456005,4535603093
2019-05-16,0.455692,0.474619,0.401363,0.419707,0.419707,4730708974
2019-05-17,0.419676,0.423509,0.366435,0.386193,0.386193,3644156225
2019-05-18,0.388622,0.391527,0.368175,0.372736,0.372736,1866646601
2019-05-19,0.372647,0.423387,0.370944,0.417700,0.417700,2803922255
2019-05-20,0.417456,0.417456,0.384647,0.398003,0.398003,2258366889
2019-05-21,0.398209,0.403105,0.389302,0.397603,0.397603,1811582121
2019-05-22,0.397493,0.407428,0.373879,0.376637,0.376637,2028827459
2019-05-23,0.376736,0.383126,0.366805,0.381204,0.381204,1595345470
2019-05-24,0.381313,0.392683,0.374502,0.384541,0.384541,1872678191
2019-05-25,0.384804,0.393600,0.383478,0.387040,0.387040,1363572842
